;;;;;;;;;;
;Clientes;;;;;;;;;
;Cliente;Tipo;Teléfono;Ubicación;;;;;;
1;Adams, Fernando;Persona;373846615; Miami, Estados Unidos ;;;;;;
2;Adams, Wyatt;Persona;646775929; Madrid, España ;;;;;;
3;Alonso, Julio;Persona;667028591; Buenos Aires, Argentina ;;;;;;
4;Ana, Maria;Persona;707344341; Córdoba, Argentina ;;;;;;
5;Anderson, Nicholas;Persona;743415512; La Paz, Bolivia ;;;;;;
6;Arthur, Jermaine;Persona;806106230; Maracaibo, Venezuela ;;;;;;
7;Bailey, Angel;Persona;589416549; Montevideo, Uruguay ;;;;;;
8;Baileya, Angela;Persona;209739312; Medellín, Colombia ;;;;;;
9;Bebbington, Mark;Persona;738959030; Ciudad de Guatemala, Guatemala ;;;;;;
10;Boulder Cnia;Empresa;396674800; Trujillo, Perú ;;;;;;
11;Bryant, Seth;Persona;765493328; Valencia, Venezuela ;;;;;;
12;Buffalo Cnia;Empresa;314800578; Río de Janeiro, Brasil ;;;;;;
13;Burbank Cnia;Empresa;180874224; Santiago, Chile ;;;;;;
14;Canoga Parque;Empresa;230328451; Caracas, Venezuela ;;;;;;
15;Charles Cnia;Empresa;481100318; Miami, Estados Unidos ;;;;;;
16;Charleston Cnia;Empresa;195780528; Montevideo, Uruguay ;;;;;;
17;Chen, Dylan;Empresa;209751676; La Habana, Cuba ;;;;;;
18;Coffs Harbour Cnia;Empresa;202735528; Puebla, México ;;;;;;
19;Coleman, James;Persona;195511040; Caracas, Venezuela ;;;;;;
20;Congo Mongo Estudio;Empresa;727374976; Guadalajara, México ;;;;;;
21;Corda Empresa de Correos;Empresa;543323111; Barranquilla, Colombia ;;;;;;
22;Dallas Producciones;Empresa;697211619; Barcelona, España ;;;;;;
23;Davis, John;Persona;590199780; Barcelona, España ;;;;;;
24;Diaz, Byron;Persona;434211154; Tegucigalpa, Honduras ;;;;;;
25;Diaz, Gabriel;Persona;656008264; Medellín, Colombia ;;;;;;
26;Edwards, Nathan;Persona;558112040; Barcelona, España ;;;;;;
27;Englewood Cnia;Empresa;833593115; Valencia, España ;;;;;;
28;Evans, Devin;Persona;446730339; Río de Janeiro, Brasil ;;;;;;
29;Evans, Noah;Persona;452804313; Guadalajara, México ;;;;;;
30;Falmouth Cnia;Empresa;665581108; Monterrey, México ;;;;;;
31;Fiorilo Transportes y Correo;Empresa;465789765; Los Angeles, Estados Unidos ;;;;;;
32;Gao, Ronnie;Persona;442954865; Buenos Aires, Argentina ;;;;;;
33;Garcia, James;Persona;440495846; San José, Costa Rica ;;;;;;
34;Geelong Cnia;Empresa;734079959; Santo Domingo, República Dominicana ;;;;;;
35;Gold Coast Accesorios;Empresa;858418641; Bogotá, Colombia ;;;;;;
36;Gonzales, Caleb;Persona;624637112; Quito, Ecuador ;;;;;;
37;Gray, Isaiah;Persona;671694387; Guayaquil, Ecuador ;;;;;;
38;Green, James;Persona;351869587; Quito, Ecuador ;;;;;;
39;Greenville Cnia;Empresa;603746260; Valencia, Venezuela ;;;;;;
40;Griffin, Kyle;Persona;317279040; Miami, Estados Unidos ;;;;;;
41;Griffin, Zachary;Persona;839101853; Puebla, México ;;;;;;
