Fecha de venta,Nombre de Vendedor,Nombre de Cliente,ID de Venta,Cantidad productos vendidos,Cantidad de distintos productos vendidos,Monto total de la venta,Tipo de tarjeta,Tipo de Oferta
31-07-2008,,Gina Martin,75084,1,1,132.6,Distinguish,No Discount
31-07-2008,,Nicole Murphy,75085,2,2,18.7187,SuperiorCard,No Discount
31-07-2008,,Elijah Zhang,75086,1,1,8.7848,Distinguish,No Discount
31-07-2008,,Lauren Ross,75087,1,1,38.664,Distinguish,No Discount
31-07-2008,,Vincent Zhang,75090,3,3,82.8529,Distinguish,No Discount
31-07-2008,,Carrie Munoz,75091,3,3,88.9194,SuperiorCard,No Discount
31-07-2008,,Franklin Chen,75092,3,3,55.2169,Distinguish,No Discount
31-07-2008,,Juan Rubio,75093,3,3,173.032,SuperiorCard,No Discount
31-07-2008,,Henry Garcia,75096,3,3,98.3119,Distinguish,No Discount
31-07-2008,,Bianca Hu,75098,3,3,41.1834,SuperiorCard,No Discount
31-07-2008,,Isaac Sandberg,75100,3,3,86.7204,Vista,No Discount
31-07-2008,,Chloe Harris,75101,2,2,147.5065,Distinguish,No Discount
31-07-2008,,Albert Castro,75103,2,2,44.1779,SuperiorCard,No Discount
31-07-2008,,Jasmine Alexander,75104,2,2,14.2987,SuperiorCard,No Discount
31-07-2008,,Candace Van,75105,4,4,109.3508,SuperiorCard,No Discount
31-07-2008,,Christina Morris,75107,2,2,62.9519,Vista,No Discount
31-07-2008,,Chloe Martin,75109,2,2,94.4554,Vista,No Discount
31-07-2008,,Rebecca Nicholls,75110,3,3,93.8366,Vista,No Discount
31-07-2008,,Timothy Green,75112,2,2,43.0729,SuperiorCard,No Discount
31-07-2008,,Faith Wood,75113,4,4,127.0308,Distinguish,No Discount
31-07-2008,,Kate Xie,75115,3,3,88.9194,Vista,No Discount
31-07-2008,,Alexander Martin,75116,1,1,5.514,SuperiorCard,No Discount
31-07-2008,,Tracy Goel,75117,2,2,32.5754,Distinguish,No Discount
31-07-2008,,Devin Phillips,75123,3,3,209.9169,Distinguish,No Discount
30-07-2008,,Henry Madan,75061,4,4,97.7483,Distinguish,No Discount
30-07-2008,,Eugene Ma,75062,1,1,23.7465,SuperiorCard,No Discount
30-07-2008,,Zachary Jai,75063,4,4,126.4783,Distinguish,No Discount
30-07-2008,,Cara Zhang,75064,3,3,75.1069,SuperiorCard,No Discount
30-07-2008,,Colin Lal,75065,1,1,36.023,Distinguish,No Discount
30-07-2008,,Antonio Wood,75066,3,3,102.1904,Distinguish,No Discount
30-07-2008,,Felicia Romero,75067,2,2,26.2769,Vista,No Discount
30-07-2008,,Lauren Thomas,75068,3,3,66.8194,Vista,No Discount
30-07-2008,,Jared Peterson,75069,4,4,109.3508,Distinguish,No Discount
30-07-2008,,Mason Roberts,75070,1,1,27.614,SuperiorCard,No Discount
30-07-2008,,Mariah Gonzales,75071,3,3,35.6584,SuperiorCard,No Discount
30-07-2008,,Alexandra Alexander,75072,2,2,40.432,Vista,No Discount
30-07-2008,,Jonathan Brown,75073,2,2,30.1444,SuperiorCard,No Discount
30-07-2008,,Jeremy Cook,75074,3,3,79.0959,SuperiorCard,No Discount
30-07-2008,,Noah Smith,75075,4,4,132.5558,SuperiorCard,No Discount
30-07-2008,,Benjamin Long,75076,3,3,43.6144,SuperiorCard,No Discount
30-07-2008,,Molly Gonzalez,75077,4,4,86.1016,Vista,No Discount
30-07-2008,,Tristan Washington,75078,4,4,81.7258,SuperiorCard,No Discount
30-07-2008,,Eduardo Parker,75079,2,2,75.6815,Distinguish,No Discount
30-07-2008,,Tracy Simpson,75080,2,2,147.5065,Distinguish,No Discount
30-07-2008,,Robert Hayes,75081,2,2,85.0519,Vista,No Discount
